Title,Description,Map Link,Active,Room Location,Asset,Desk Location,Capacity,RoomPicture,Division,POC,VTel,Projector/TV,Smart Board,SecondPOC,Floor,Created By
"Wyoming CBOC, RM1A100A, Desk 2",,,1,"Wyoming CBOC, RM1A100A",Desk,,,,,,,,,,,"lastName, firstName A."
"Wyoming CBOC, RM1A100A, Desk 3",,,1,"Wyoming CBOC, RM1A100A",Desk,,,,,,,,,,,"lastName, firstName A."
"Wyoming CBOC, RM1A100A, Desk 4",,,1,"Wyoming CBOC, RM1A100A",Desk,,,,,,,,,,,"lastName, firstName A."
"Wyoming CBOC, RM1A100A, Desk 5",,,1,"Wyoming CBOC, RM1A100A",Desk,,,,,,,,,,,"lastName, firstName A."
"Wyoming CBOC, RM1A100A, Desk 6",,,1,"Wyoming CBOC, RM1A100A",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM206",,,1,"Bldg. 9, RM206",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM206, Desk 1 ",,,1,"Bldg. 9, RM206",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM206, Desk 2",,,1,"Bldg. 9, RM206",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM206, Desk 3",,,1,"Bldg. 9, RM206",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM206, Desk 4",,,1,"Bldg. 9, RM206",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM206, Desk 5",,,1,"Bldg. 9, RM206",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM206, Desk 6",,,1,"Bldg. 9, RM206",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM206, Desk 7",,,1,"Bldg. 9, RM206",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM206, Desk 8",,,1,"Bldg. 9, RM206",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM206, Desk 9",,,1,"Bldg. 9, RM206",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM206, Desk 10",,,1,"Bldg. 9, RM206",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM206, Desk 11",,,1,"Bldg. 9, RM206",Desk,,,,,,,,,,,"lastName, firstName A."
"Bldg. 9, RM206, Desk 12",,,1,"Bldg. 9, RM206",Desk,,,,,,,,,,,"lastName, firstName A."
